"Notes"	"State"	"State Code"	"Drug/Alcohol Induced"	"Drug/Alcohol Induced Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Hawaii"	"15"	"All other non-drug and non-alcohol causes"	"O"	"95-99 years"	"95-99"	10129	Not Applicable	Not Applicable
	"Hawaii"	"15"	"All other non-drug and non-alcohol causes"	"O"	"100+ years"	"100+"	2386	Not Applicable	Not Applicable
	"Hawaii"	"15"	"All other non-drug and non-alcohol causes"	"O"	"Not Stated"	"NS"	17	Not Applicable	Not Applicable
	"Idaho"	"16"	"Drug-induced causes"	"D"	"15-19 years"	"15-19"	74	2296519	3.2
	"Idaho"	"16"	"Drug-induced causes"	"D"	"20-24 years"	"20-24"	178	2147781	8.3
	"Idaho"	"16"	"Drug-induced causes"	"D"	"25-29 years"	"25-29"	288	2009720	14.3
	"Idaho"	"16"	"Drug-induced causes"	"D"	"30-34 years"	"30-34"	285	1963092	14.5
	"Idaho"	"16"	"Drug-induced causes"	"D"	"35-39 years"	"35-39"	405	1957336	20.7
	"Idaho"	"16"	"Drug-induced causes"	"D"	"40-44 years"	"40-44"	418	1962937	21.3
	"Idaho"	"16"	"Drug-induced causes"	"D"	"45-49 years"	"45-49"	483	1979593	24.4
	"Idaho"	"16"	"Drug-induced causes"	"D"	"50-54 years"	"50-54"	432	1933748	22.3
	"Idaho"	"16"	"Drug-induced causes"	"D"	"55-59 years"	"55-59"	319	1779011	17.9
	"Idaho"	"16"	"Drug-induced causes"	"D"	"60-64 years "	"60-64"	189	1527148	12.4
	"Idaho"	"16"	"Drug-induced causes"	"D"	"65-69 years"	"65-69"	90	1245475	7.2
	"Idaho"	"16"	"Drug-induced causes"	"D"	"70-74 years"	"70-74"	47	954089	4.9
	"Idaho"	"16"	"Drug-induced causes"	"D"	"75-79 years"	"75-79"	51	714159	7.1
	"Idaho"	"16"	"Drug-induced causes"	"D"	"80-84 years"	"80-84"	33	508657	6.5
	"Idaho"	"16"	"Drug-induced causes"	"D"	"85-89 years"	"85-89"	27	Not Applicable	Not Applicable
	"Idaho"	"16"	"Drug-induced causes"	"D"	"90-94 years"	"90-94"	16	Not Applicable	Not Applicable
	"Idaho"	"16"	"Alcohol-induced causes"	"A"	"20-24 years"	"20-24"	14	2147781	Unreliable
	"Idaho"	"16"	"Alcohol-induced causes"	"A"	"25-29 years"	"25-29"	26	2009720	1.3
	"Idaho"	"16"	"Alcohol-induced causes"	"A"	"30-34 years"	"30-34"	68	1963092	3.5
	"Idaho"	"16"	"Alcohol-induced causes"	"A"	"35-39 years"	"35-39"	137	1957336	7.0
	"Idaho"	"16"	"Alcohol-induced causes"	"A"	"40-44 years"	"40-44"	234	1962937	11.9
	"Idaho"	"16"	"Alcohol-induced causes"	"A"	"45-49 years"	"45-49"	400	1979593	20.2
	"Idaho"	"16"	"Alcohol-induced causes"	"A"	"50-54 years"	"50-54"	544	1933748	28.1
	"Idaho"	"16"	"Alcohol-induced causes"	"A"	"55-59 years"	"55-59"	585	1779011	32.9
	"Idaho"	"16"	"Alcohol-induced causes"	"A"	"60-64 years "	"60-64"	509	1527148	33.3
	"Idaho"	"16"	"Alcohol-induced causes"	"A"	"65-69 years"	"65-69"	353	1245475	28.3
	"Idaho"	"16"	"Alcohol-induced causes"	"A"	"70-74 years"	"70-74"	249	954089	26.1
	"Idaho"	"16"	"Alcohol-induced causes"	"A"	"75-79 years"	"75-79"	144	714159	20.2
	"Idaho"	"16"	"Alcohol-induced causes"	"A"	"80-84 years"	"80-84"	82	508657	16.1
	"Idaho"	"16"	"Alcohol-induced causes"	"A"	"85-89 years"	"85-89"	36	Not Applicable	Not Applicable
	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	"< 1 year"	"1"	2623	448547	584.8
	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	"1-4 years"	"1-4"	515	1792356	28.7
	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	"5-9 years"	"5-9"	308	2275305	13.5
	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	"10-14 years"	"10-14"	482	2310037	20.9
	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	"15-19 years"	"15-19"	1385	2296519	60.3
	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	"20-24 years"	"20-24"	1715	2147781	79.8
	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	"25-29 years"	"25-29"	1509	2009720	75.1
	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	"30-34 years"	"30-34"	1652	1963092	84.2
	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	"35-39 years"	"35-39"	2265	1957336	115.7
	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	"40-44 years"	"40-44"	3146	1962937	160.3
	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	"45-49 years"	"45-49"	4844	1979593	244.7
	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	"50-54 years"	"50-54"	7314	1933748	378.2
	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	"55-59 years"	"55-59"	10167	1779011	571.5
	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	"60-64 years "	"60-64"	13835	1527148	905.9
	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	"65-69 years"	"65-69"	17304	1245475	1389.3
	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	"70-74 years"	"70-74"	21378	954089	2240.7
	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	"75-79 years"	"75-79"	27318	714159	3825.2
	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	"80-84 years"	"80-84"	32501	508657	6389.6
	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	"85-89 years"	"85-89"	34431	Not Applicable	Not Applicable
	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	"90-94 years"	"90-94"	25254	Not Applicable	Not Applicable
	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	"95-99 years"	"95-99"	9881	Not Applicable	Not Applicable
	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	"100+ years"	"100+"	1871	Not Applicable	Not Applicable
	"Illinois"	"17"	"Drug-induced causes"	"D"	"1-4 years"	"1-4"	24	13355734	0.2
	"Illinois"	"17"	"Drug-induced causes"	"D"	"10-14 years"	"10-14"	23	17680592	0.1
	"Illinois"	"17"	"Drug-induced causes"	"D"	"15-19 years"	"15-19"	639	17828387	3.6
	"Illinois"	"17"	"Drug-induced causes"	"D"	"20-24 years"	"20-24"	2306	17588898	13.1
	"Illinois"	"17"	"Drug-induced causes"	"D"	"25-29 years"	"25-29"	3110	17764604	17.5
	"Illinois"	"17"	"Drug-induced causes"	"D"	"30-34 years"	"30-34"	3375	17713368	19.1
	"Illinois"	"17"	"Drug-induced causes"	"D"	"35-39 years"	"35-39"	3654	17754140	20.6
	"Illinois"	"17"	"Drug-induced causes"	"D"	"40-44 years"	"40-44"	4081	18031780	22.6
	"Illinois"	"17"	"Drug-induced causes"	"D"	"45-49 years"	"45-49"	4206	18008108	23.4
	"Illinois"	"17"	"Drug-induced causes"	"D"	"50-54 years"	"50-54"	3629	17229179	21.1
	"Illinois"	"17"	"Drug-induced causes"	"D"	"55-59 years"	"55-59"	2554	15263197	16.7
	"Illinois"	"17"	"Drug-induced causes"	"D"	"60-64 years "	"60-64"	1218	12479533	9.8
	"Illinois"	"17"	"Drug-induced causes"	"D"	"65-69 years"	"65-69"	520	9812723	5.3
	"Illinois"	"17"	"Drug-induced causes"	"D"	"70-74 years"	"70-74"	253	7725525	3.3
	"Illinois"	"17"	"Drug-induced causes"	"D"	"75-79 years"	"75-79"	165	6167188	2.7
	"Illinois"	"17"	"Drug-induced causes"	"D"	"80-84 years"	"80-84"	131	4613327	2.8
	"Illinois"	"17"	"Drug-induced causes"	"D"	"85-89 years"	"85-89"	79	Not Applicable	Not Applicable
	"Illinois"	"17"	"Drug-induced causes"	"D"	"90-94 years"	"90-94"	48	Not Applicable	Not Applicable
	"Illinois"	"17"	"Drug-induced causes"	"D"	"95-99 years"	"95-99"	19	Not Applicable	Not Applicable
	"Illinois"	"17"	"Alcohol-induced causes"	"A"	"15-19 years"	"15-19"	21	17828387	0.1
	"Illinois"	"17"	"Alcohol-induced causes"	"A"	"20-24 years"	"20-24"	78	17588898	0.4
	"Illinois"	"17"	"Alcohol-induced causes"	"A"	"25-29 years"	"25-29"	222	17764604	1.2
	"Illinois"	"17"	"Alcohol-induced causes"	"A"	"30-34 years"	"30-34"	468	17713368	2.6
	"Illinois"	"17"	"Alcohol-induced causes"	"A"	"35-39 years"	"35-39"	895	17754140	5.0
	"Illinois"	"17"	"Alcohol-induced causes"	"A"	"40-44 years"	"40-44"	1549	18031780	8.6
	"Illinois"	"17"	"Alcohol-induced causes"	"A"	"45-49 years"	"45-49"	2279	18008108	12.7
	"Illinois"	"17"	"Alcohol-induced causes"	"A"	"50-54 years"	"50-54"	2674	17229179	15.5
	"Illinois"	"17"	"Alcohol-induced causes"	"A"	"55-59 years"	"55-59"	2505	15263197	16.4
	"Illinois"	"17"	"Alcohol-induced causes"	"A"	"60-64 years "	"60-64"	1840	12479533	14.7
	"Illinois"	"17"	"Alcohol-induced causes"	"A"	"65-69 years"	"65-69"	1106	9812723	11.3
	"Illinois"	"17"	"Alcohol-induced causes"	"A"	"70-74 years"	"70-74"	638	7725525	8.3
	"Illinois"	"17"	"Alcohol-induced causes"	"A"	"75-79 years"	"75-79"	463	6167188	7.5
	"Illinois"	"17"	"Alcohol-induced causes"	"A"	"80-84 years"	"80-84"	210	4613327	4.6
	"Illinois"	"17"	"Alcohol-induced causes"	"A"	"85-89 years"	"85-89"	98	Not Applicable	Not Applicable
	"Illinois"	"17"	"Alcohol-induced causes"	"A"	"90-94 years"	"90-94"	41	Not Applicable	Not Applicable
	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	"< 1 year"	"1"	23884	3311331	721.3
	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	"1-4 years"	"1-4"	3489	13355734	26.1
	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	"5-9 years"	"5-9"	2051	17087536	12.0
	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	"10-14 years"	"10-14"	2731	17680592	15.4
	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	"15-19 years"	"15-19"	9723	17828387	54.5
	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	"20-24 years"	"20-24"	13951	17588898	79.3
	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	"25-29 years"	"25-29"	13575	17764604	76.4
	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	"30-34 years"	"30-34"	15248	17713368	86.1
	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	"35-39 years"	"35-39"	20224	17754140	113.9
	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	"40-44 years"	"40-44"	31260	18031780	173.4
	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	"45-49 years"	"45-49"	50291	18008108	279.3
	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	"50-54 years"	"50-54"	75514	17229179	438.3
	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	"55-59 years"	"55-59"	104295	15263197	683.3
	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	"60-64 years "	"60-64"	130435	12479533	1045.2
	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	"65-69 years"	"65-69"	156629	9812723	1596.2
	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	"70-74 years"	"70-74"	195150	7725525	2526.0
	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	"75-79 years"	"75-79"	246465	6167188	3996.4
	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	"80-84 years"	"80-84"	299346	4613327	6488.7
	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	"85-89 years"	"85-89"	310519	Not Applicable	Not Applicable
	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	"90-94 years"	"90-94"	227330	Not Applicable	Not Applicable
	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	"95-99 years"	"95-99"	94130	Not Applicable	Not Applicable
	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	"100+ years"	"100+"	20429	Not Applicable	Not Applicable
	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	"Not Stated"	"NS"	110	Not Applicable	Not Applicable
	"Indiana"	"18"	"Drug-induced causes"	"D"	"< 1 year"	"1"	24	1691954	1.4
	"Indiana"	"18"	"Drug-induced causes"	"D"	"1-4 years"	"1-4"	21	6833355	0.3
	"Indiana"	"18"	"Drug-induced causes"	"D"	"5-9 years"	"5-9"	10	8761123	Unreliable
	"Indiana"	"18"	"Drug-induced causes"	"D"	"10-14 years"	"10-14"	20	9010078	0.2
	"Indiana"	"18"	"Drug-induced causes"	"D"	"15-19 years"	"15-19"	409	9228786	4.4
	"Indiana"	"18"	"Drug-induced causes"	"D"	"20-24 years"	"20-24"	1491	9155851	16.3
	"Indiana"	"18"	"Drug-induced causes"	"D"	"25-29 years"	"25-29"	2149	8342687	25.8
	"Indiana"	"18"	"Drug-induced causes"	"D"	"30-34 years"	"30-34"	2240	8308217	27.0
	"Indiana"	"18"	"Drug-induced causes"	"D"	"35-39 years"	"35-39"	2315	8578522	27.0
	"Indiana"	"18"	"Drug-induced causes"	"D"	"40-44 years"	"40-44"	2310	8888088	26.0
	"Indiana"	"18"	"Drug-induced causes"	"D"	"45-49 years"	"45-49"	2434	9025898	27.0
	"Indiana"	"18"	"Drug-induced causes"	"D"	"50-54 years"	"50-54"	2022	8759826	23.1
	"Indiana"	"18"	"Drug-induced causes"	"D"	"55-59 years"	"55-59"	1381	7869793	17.5
	"Indiana"	"18"	"Drug-induced causes"	"D"	"60-64 years "	"60-64"	716	6531130	11.0
	"Indiana"	"18"	"Drug-induced causes"	"D"	"65-69 years"	"65-69"	302	5188582	5.8
	"Indiana"	"18"	"Drug-induced causes"	"D"	"70-74 years"	"70-74"	143	4074519	3.5
	"Indiana"	"18"	"Drug-induced causes"	"D"	"75-79 years"	"75-79"	103	3213991	3.2
	"Indiana"	"18"	"Drug-induced causes"	"D"	"80-84 years"	"80-84"	96	2347928	4.1
	"Indiana"	"18"	"Drug-induced causes"	"D"	"85-89 years"	"85-89"	54	Not Applicable	Not Applicable
	"Indiana"	"18"	"Drug-induced causes"	"D"	"90-94 years"	"90-94"	31	Not Applicable	Not Applicable
	"Indiana"	"18"	"Alcohol-induced causes"	"A"	"15-19 years"	"15-19"	13	9228786	Unreliable
	"Indiana"	"18"	"Alcohol-induced causes"	"A"	"20-24 years"	"20-24"	42	9155851	0.5
	"Indiana"	"18"	"Alcohol-induced causes"	"A"	"25-29 years"	"25-29"	137	8342687	1.6
	"Indiana"	"18"	"Alcohol-induced causes"	"A"	"30-34 years"	"30-34"	266	8308217	3.2
	"Indiana"	"18"	"Alcohol-induced causes"	"A"	"35-39 years"	"35-39"	474	8578522	5.5
	"Indiana"	"18"	"Alcohol-induced causes"	"A"	"40-44 years"	"40-44"	803	8888088	9.0
	"Indiana"	"18"	"Alcohol-induced causes"	"A"	"45-49 years"	"45-49"	1342	9025898	14.9
	"Indiana"	"18"	"Alcohol-induced causes"	"A"	"50-54 years"	"50-54"	1647	8759826	18.8
	"Indiana"	"18"	"Alcohol-induced causes"	"A"	"55-59 years"	"55-59"	1548	7869793	19.7
	"Indiana"	"18"	"Alcohol-induced causes"	"A"	"60-64 years "	"60-64"	1193	6531130	18.3
	"Indiana"	"18"	"Alcohol-induced causes"	"A"	"65-69 years"	"65-69"	763	5188582	14.7
	"Indiana"	"18"	"Alcohol-induced causes"	"A"	"70-74 years"	"70-74"	443	4074519	10.9
	"Indiana"	"18"	"Alcohol-induced causes"	"A"	"75-79 years"	"75-79"	261	3213991	8.1
	"Indiana"	"18"	"Alcohol-induced causes"	"A"	"80-84 years"	"80-84"	131	2347928	5.6
	"Indiana"	"18"	"Alcohol-induced causes"	"A"	"85-89 years"	"85-89"	53	Not Applicable	Not Applicable
	"Indiana"	"18"	"Alcohol-induced causes"	"A"	"90-94 years"	"90-94"	13	Not Applicable	Not Applicable
	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	"< 1 year"	"1"	12817	1691954	757.5
	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	"1-4 years"	"1-4"	2195	6833355	32.1
	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	"5-9 years"	"5-9"	1336	8761123	15.2
	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	"10-14 years"	"10-14"	1575	9010078	17.5
	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	"15-19 years"	"15-19"	5342	9228786	57.9
	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	"20-24 years"	"20-24"	7377	9155851	80.6
	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	"25-29 years"	"25-29"	7522	8342687	90.2
	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	"30-34 years"	"30-34"	8549	8308217	102.9
	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	"35-39 years"	"35-39"	11636	8578522	135.6
	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	"40-44 years"	"40-44"	18110	8888088	203.8
	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	"45-49 years"	"45-49"	28937	9025898	320.6
	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	"50-54 years"	"50-54"	43957	8759826	501.8
	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	"55-59 years"	"55-59"	59972	7869793	762.1
	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	"60-64 years "	"60-64"	76909	6531130	1177.6
	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	"65-69 years"	"65-69"	92714	5188582	1786.9
	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	"70-74 years"	"70-74"	114649	4074519	2813.8
	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	"75-79 years"	"75-79"	141763	3213991	4410.8
	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	"80-84 years"	"80-84"	165317	2347928	7041.0
	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	"85-89 years"	"85-89"	164163	Not Applicable	Not Applicable
	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	"90-94 years"	"90-94"	115316	Not Applicable	Not Applicable
	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	"95-99 years"	"95-99"	45789	Not Applicable	Not Applicable
	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	"100+ years"	"100+"	9586	Not Applicable	Not Applicable
	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	"Not Stated"	"NS"	37	Not Applicable	Not Applicable
	"Iowa"	"19"	"Drug-induced causes"	"D"	"15-19 years"	"15-19"	100	4378051	2.3
	"Iowa"	"19"	"Drug-induced causes"	"D"	"20-24 years"	"20-24"	271	4379854	6.2
	"Iowa"	"19"	"Drug-induced causes"	"D"	"25-29 years"	"25-29"	359	3717053	9.7
	"Iowa"	"19"	"Drug-induced causes"	"D"	"30-34 years"	"30-34"	393	3755089	10.5
	"Iowa"	"19"	"Drug-induced causes"	"D"	"35-39 years"	"35-39"	484	3815056	12.7
	"Iowa"	"19"	"Drug-induced causes"	"D"	"40-44 years"	"40-44"	553	3996861	13.8
	"Iowa"	"19"	"Drug-induced causes"	"D"	"45-49 years"	"45-49"	606	4166562	14.5
	"Iowa"	"19"	"Drug-induced causes"	"D"	"50-54 years"	"50-54"	584	4134369	14.1
	"Iowa"	"19"	"Drug-induced causes"	"D"	"55-59 years"	"55-59"	392	3766520	10.4
	"Iowa"	"19"	"Drug-induced causes"	"D"	"60-64 years "	"60-64"	187	3176635	5.9
	"Iowa"	"19"	"Drug-induced causes"	"D"	"65-69 years"	"65-69"	93	2571377	3.6
	"Iowa"	"19"	"Drug-induced causes"	"D"	"70-74 years"	"70-74"	52	2098092	2.5
	"Iowa"	"19"	"Drug-induced causes"	"D"	"75-79 years"	"75-79"	45	1755619	2.6
	"Iowa"	"19"	"Drug-induced causes"	"D"	"80-84 years"	"80-84"	56	1379968	4.1
	"Iowa"	"19"	"Drug-induced causes"	"D"	"85-89 years"	"85-89"	26	Not Applicable	Not Applicable
	"Iowa"	"19"	"Drug-induced causes"	"D"	"90-94 years"	"90-94"	22	Not Applicable	Not Applicable
	"Iowa"	"19"	"Alcohol-induced causes"	"A"	"20-24 years"	"20-24"	12	4379854	Unreliable
	"Iowa"	"19"	"Alcohol-induced causes"	"A"	"25-29 years"	"25-29"	60	3717053	1.6
	"Iowa"	"19"	"Alcohol-induced causes"	"A"	"30-34 years"	"30-34"	104	3755089	2.8
	"Iowa"	"19"	"Alcohol-induced causes"	"A"	"35-39 years"	"35-39"	213	3815056	5.6
	"Iowa"	"19"	"Alcohol-induced causes"	"A"	"40-44 years"	"40-44"	370	3996861	9.3
	"Iowa"	"19"	"Alcohol-induced causes"	"A"	"45-49 years"	"45-49"	635	4166562	15.2
	"Iowa"	"19"	"Alcohol-induced causes"	"A"	"50-54 years"	"50-54"	826	4134369	20.0
	"Iowa"	"19"	"Alcohol-induced causes"	"A"	"55-59 years"	"55-59"	860	3766520	22.8
	"Iowa"	"19"	"Alcohol-induced causes"	"A"	"60-64 years "	"60-64"	692	3176635	21.8
	"Iowa"	"19"	"Alcohol-induced causes"	"A"	"65-69 years"	"65-69"	471	2571377	18.3
	"Iowa"	"19"	"Alcohol-induced causes"	"A"	"70-74 years"	"70-74"	281	2098092	13.4
	"Iowa"	"19"	"Alcohol-induced causes"	"A"	"75-79 years"	"75-79"	187	1755619	10.7
	"Iowa"	"19"	"Alcohol-induced causes"	"A"	"80-84 years"	"80-84"	112	1379968	8.1
	"Iowa"	"19"	"Alcohol-induced causes"	"A"	"85-89 years"	"85-89"	55	Not Applicable	Not Applicable
	"Iowa"	"19"	"Alcohol-induced causes"	"A"	"90-94 years"	"90-94"	18	Not Applicable	Not Applicable
	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	"< 1 year"	"1"	4061	774636	524.2
	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	"1-4 years"	"1-4"	829	3116304	26.6
	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	"5-9 years"	"5-9"	536	3989953	13.4
	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	"10-14 years"	"10-14"	673	4112245	16.4
	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	"15-19 years"	"15-19"	2147	4378051	49.0
	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	"20-24 years"	"20-24"	2686	4379854	61.3
	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	"25-29 years"	"25-29"	2501	3717053	67.3
	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	"30-34 years"	"30-34"	2938	3755089	78.2
	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	"35-39 years"	"35-39"	4012	3815056	105.2
	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	"40-44 years"	"40-44"	6462	3996861	161.7
	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	"45-49 years"	"45-49"	10407	4166562	249.8
	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	"50-54 years"	"50-54"	16566	4134369	400.7
	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	"55-59 years"	"55-59"	23045	3766520	611.8
	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	"60-64 years "	"60-64"	30411	3176635	957.3
	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	"65-69 years"	"65-69"	38581	2571377	1500.4
	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	"70-74 years"	"70-74"	49830	2098092	2375.0
	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	"75-79 years"	"75-79"	66028	1755619	3761.0
	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	"80-84 years"	"80-84"	85956	1379968	6228.8
	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	"85-89 years"	"85-89"	94956	Not Applicable	Not Applicable
	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	"90-94 years"	"90-94"	74654	Not Applicable	Not Applicable
	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	"95-99 years"	"95-99"	33773	Not Applicable	Not Applicable
	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	"100+ years"	"100+"	7962	Not Applicable	Not Applicable
	"Kansas"	"20"	"Drug-induced causes"	"D"	"1-4 years"	"1-4"	12	3128584	Unreliable
	"Kansas"	"20"	"Drug-induced causes"	"D"	"15-19 years"	"15-19"	100	4113419	2.4
	"Kansas"	"20"	"Drug-induced causes"	"D"	"20-24 years"	"20-24"	323	4165094	7.8
	"Kansas"	"20"	"Drug-induced causes"	"D"	"25-29 years"	"25-29"	445	3656081	12.2
	"Kansas"	"20"	"Drug-induced causes"	"D"	"30-34 years"	"30-34"	499	3639663	13.7
	"Kansas"	"20"	"Drug-induced causes"	"D"	"35-39 years"	"35-39"	637	3636732	17.5
	"Kansas"	"20"	"Drug-induced causes"	"D"	"40-44 years"	"40-44"	762	3736840	20.4
	"Kansas"	"20"	"Drug-induced causes"	"D"	"45-49 years"	"45-49"	895	3833662	23.3
	"Kansas"	"20"	"Drug-induced causes"	"D"	"50-54 years"	"50-54"	714	3747880	19.1
	"Kansas"	"20"	"Drug-induced causes"	"D"	"55-59 years"	"55-59"	504	3362703	15.0
	"Kansas"	"20"	"Drug-induced causes"	"D"	"60-64 years "	"60-64"	243	2773392	8.8
	"Kansas"	"20"	"Drug-induced causes"	"D"	"65-69 years"	"65-69"	115	2204141	5.2
	"Kansas"	"20"	"Drug-induced causes"	"D"	"70-74 years"	"70-74"	68	1761783	3.9
	"Kansas"	"20"	"Drug-induced causes"	"D"	"75-79 years"	"75-79"	56	1448337	3.9
	"Kansas"	"20"	"Drug-induced causes"	"D"	"80-84 years"	"80-84"	38	1120142	3.4
	"Kansas"	"20"	"Drug-induced causes"	"D"	"85-89 years"	"85-89"	21	Not Applicable	Not Applicable
	"Kansas"	"20"	"Drug-induced causes"	"D"	"90-94 years"	"90-94"	20	Not Applicable	Not Applicable
	"Kansas"	"20"	"Alcohol-induced causes"	"A"	"15-19 years"	"15-19"	11	4113419	Unreliable
	"Kansas"	"20"	"Alcohol-induced causes"	"A"	"20-24 years"	"20-24"	32	4165094	0.8
	"Kansas"	"20"	"Alcohol-induced causes"	"A"	"25-29 years"	"25-29"	52	3656081	1.4
	"Kansas"	"20"	"Alcohol-induced causes"	"A"	"30-34 years"	"30-34"	128	3639663	3.5
	"Kansas"	"20"	"Alcohol-induced causes"	"A"	"35-39 years"	"35-39"	205	3636732	5.6
	"Kansas"	"20"	"Alcohol-induced causes"	"A"	"40-44 years"	"40-44"	370	3736840	9.9
	"Kansas"	"20"	"Alcohol-induced causes"	"A"	"45-49 years"	"45-49"	582	3833662	15.2
	"Kansas"	"20"	"Alcohol-induced causes"	"A"	"50-54 years"	"50-54"	763	3747880	20.4
